operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,lat,lon
sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.6153103,-58.3619834",179375.0,USD,2719755.5,179375.0,51.0,47.0,3517.156863,3816.489362,,2.0,,http://puerto-madero.properati.com.ar/12j40_venta_departamentos_puerto-madero_balcon_le-bleu,-34.6153103,-58.3619834
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5574837,-58.4806697",165000.0,USD,2501796.0,165000.0,66.0,56.0,2500.0,2946.428571,3.0,2.0,,http://saavedra.properati.com.ar/nn86_venta_departamentos_saavedra,-34.5574837,-58.4806697
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6086508,-58.4255808",85000.0,USD,1288804.0,85000.0,57.0,27.0,1491.22807,3148.148148,1.0,2.0,1400.0,http://almagro.properati.com.ar/12ee7_venta_departamentos_almagro_lavadero_patio_impecable_placard_subte-linea-b_subte-linea-a_eduardo-bertolotti-propiedades,-34.6086508,-58.4255808
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.640296,-58.378665",172000.0,USD,2607932.8,172000.0,,84.0,,2047.619048,,2.0,,http://barracas.properati.com.ar/10zsy_venta_departamentos_parque-patricios_gimnasio_jardin_lavadero_piscina_sum_luminoso_re-max-puerto,-34.640296,-58.378665
sell,apartment,|Argentina|Capital Federal|Mataderos|,"-34.6472257,-58.4923125",88000.0,USD,1334291.2,88000.0,42.0,40.0,2095.238095,2200.0,,3.0,1300.0,http://mataderos.properati.com.ar/11wu7_venta_departamentos_mataderos_balcon_impecable_placard_fj-lujan-propiedades,-34.6472257,-58.4923125
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.597769,-58.42644",216500.0,USD,3282659.6,216500.0,,64.0,,3382.8125,2.0,3.0,,http://villa-crespo.properati.com.ar/vr27_venta_departamentos_villa-crespo,-34.597769,-58.42644
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.600022,-58.4175858",89000.0,USD,1349453.6,89000.0,38.0,38.0,2342.105263,2342.105263,,2.0,432.0,http://palermo.properati.com.ar/11wdp_venta_departamentos_palermo_lavadero_vestidor_placard_cabildo-500,-34.600022,-58.4175858
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.612413,-58.419328",188000.0,USD,2850531.2,188000.0,,90.0,,2088.888889,,4.0,,http://almagro.properati.com.ar/12hym_venta_departamentos_almagro_balcon_hidromasaje_lavadero_patio_luminoso_vista_garage_impecable_placard_subte-linea-a_re-max-premium,-34.612413,-58.419328
sell,apartment,|Argentina|Capital Federal|Belgrano|,,395000.0,USD,5989148.0,395000.0,170.0,98.0,2323.529412,4030.612245,,4.0,4100.0,http://belgrano.properati.com.ar/xpsm_venta_departamentos_belgrano_balcon_baulera_suite_hidromasaje_patio_luminoso_garage_aire-acondicionado_losa-radiante,,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5525338,-58.4512771",106000.0,USD,1607214.4,106000.0,,33.0,,3212.121212,,1.0,,http://belgrano.properati.com.ar/okik_venta_departamentos_belgrano_del-libertador-av-_6400,-34.5525338,-58.4512771
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5427503,-58.4601452",220000.0,USD,3335728.0,220000.0,76.0,70.0,2894.736842,3142.857143,,2.0,,http://nunez.properati.com.ar/zbn0_venta_departamentos_nunez_balcon_piscina_toilette_luminoso_aire-acondicionado_f-gk-propiedades_7ej,-34.5427503,-58.4601452
